Image#  Defocus1  Defocus2  Astig
  200   35234.9   34218.1   64.78
  200   35234.9   34218.1   64.78
  201   35119.2   34428.9   64.81
  202   30421.4   31227.8   15.51
  202   30421.4   31227.8   15.51
  203   27506.3   27150.7   52.69
  204   26356.2   28315.6   -4.53
  204   26356.2   28315.6   -4.53
  204   26356.2   28315.6   -4.53
  205   25942.0   25535.4   28.15
  205   25942.0   25535.4   28.15
  206   38852.9   38298.1   56.73
  207   52854.3   50076.4    7.32
  207   52854.3   50076.4    7.32
  207   52854.3   50076.4    7.32
  208   49621.9   48776.7   41.58
  208   49621.9   48776.7   41.58
  208   49621.9   48776.7   41.58
  208   49621.9   48776.7   41.58
  209   46480.8   47313.5   -5.98
  209   46480.8   47313.5   -5.98
  209   46480.8   47313.5   -5.98
  209   46480.8   47313.5   -5.98
  209   46480.8   47313.5   -5.98
  210   43761.7   45321.9   43.56
  211   42269.2   42635.0   40.94
  212   40798.1   39923.0   42.94
  212   40798.1   39923.0   42.94
  213   36919.9   36155.2   68.06
  214   36264.3   35797.9   36.64
  214   36264.3   35797.9   36.64
  214   36264.3   35797.9   36.64
  215   33417.8   34226.6   -8.86
  215   33417.8   34226.6   -8.86
  216   36000.0   35713.6   51.59
  216   36000.0   35713.6   51.59
  216   36000.0   35713.6   51.59
  217   37677.7   37434.8   -0.38
  217   37677.7   37434.8   -0.38
  217   37677.7   37434.8   -0.38
  218   34366.2   33684.2   57.41
  219   28266.5   28564.6  -16.62
  219   28266.5   28564.6  -16.62
  219   28266.5   28564.6  -16.62
  220   30818.0   31712.5   -6.24
  221   41098.8   40609.4   40.29
  221   41098.8   40609.4   40.29
  221   41098.8   40609.4   40.29
  222   44079.3   42269.5   76.24
  223   41668.9   41076.7   67.14
  224   35769.1   34133.5   71.49
  224   35769.1   34133.5   71.49
  224   35769.1   34133.5   71.49
  224   35769.1   34133.5   71.49
  225   33194.5   32175.0   67.59
  226   44380.3   41793.6   37.67
  227   42903.3   46915.5   -6.19
  227   42903.3   46915.5   -6.19
  227   42903.3   46915.5   -6.19
  227   42903.3   46915.5   -6.19
  227   42903.3   46915.5   -6.19
  228   38986.7   39472.1   -8.24
  228   38986.7   39472.1   -8.24
  228   38986.7   39472.1   -8.24
  228   38986.7   39472.1   -8.24
  229   36073.4   35712.3   80.57
  229   36073.4   35712.3   80.57
  229   36073.4   35712.3   80.57
  229   36073.4   35712.3   80.57
  229   36073.4   35712.3   80.57
  230   32446.4   31588.1   35.02
  231   28751.6   29671.5   12.20
  232   28068.1   28731.3    3.13
  233   28081.6   27717.8   31.80
  233   28081.6   27717.8   31.80
  234   28445.1   27045.5   -9.60
  234   28445.1   27045.5   -9.60
  234   28445.1   27045.5   -9.60
  235   33919.4   35675.0   -1.96
  236   34089.5   35127.8   -5.73
  237   33029.1   37258.3   -5.67
  238   32488.8   32607.5  -30.75
  238   32488.8   32607.5  -30.75
  238   32488.8   32607.5  -30.75
  239   34950.6   33584.0   73.49
  239   34950.6   33584.0   73.49
  240   33724.0   34365.6   70.70
  241   29227.9   28141.6   -1.63
  242   28132.9   28624.3   60.20
  242   28132.9   28624.3   60.20
  243   30852.1   31678.5   24.29
  243   30852.1   31678.5   24.29
  244   28673.5   27912.9   72.61
  245   40035.3   40576.6   13.57
  245   40035.3   40576.6   13.57
  246   35819.8   36098.1    6.31
  246   35819.8   36098.1    6.31
  246   35819.8   36098.1    6.31
  246   35819.8   36098.1    6.31
  247   37966.0   38643.7   15.37
  247   37966.0   38643.7   15.37
  248   34619.6   35606.4    6.70
  248   34619.6   35606.4    6.70
  248   34619.6   35606.4    6.70
  248   34619.6   35606.4    6.70
  249   31072.7   32461.3   -8.31
  250   42791.4   44483.1   12.63
  251   41007.9   42068.7   23.48
  251   41007.9   42068.7   23.48
  251   41007.9   42068.7   23.48
  251   41007.9   42068.7   23.48
  251   41007.9   42068.7   23.48
  252   42315.4   41058.1   63.37
  252   42315.4   41058.1   63.37
  253   41908.4   40877.4   72.27
  253   41908.4   40877.4   72.27
  253   41908.4   40877.4   72.27
  254   38351.6   39032.5   37.42
  254   38351.6   39032.5   37.42
  254   38351.6   39032.5   37.42
  255   38633.1   37220.1   59.20
  256   36614.9   40140.6   28.02
  256   36614.9   40140.6   28.02
  257   36787.5   38527.4    3.92
  257   36787.5   38527.4    3.92
  257   36787.5   38527.4    3.92
  258   32216.6   33575.1   38.15
  258   32216.6   33575.1   38.15
  258   32216.6   33575.1   38.15
  258   32216.6   33575.1   38.15
  259   31655.4   29882.1   54.59
  259   31655.4   29882.1   54.59
  259   31655.4   29882.1   54.59
  259   31655.4   29882.1   54.59
  260   26830.4   25575.5   72.39
  260   26830.4   25575.5   72.39
  260   26830.4   25575.5   72.39
  260   26830.4   25575.5   72.39
  261   34851.8   35657.1    5.30
  262   32579.2   33368.2   11.08
  263   30901.5   31936.3   14.99
  264   42144.9   43100.3   -5.65
  265   34713.3   35656.8   18.90
  265   34713.3   35656.8   18.90
  266   39041.1   38567.2   64.60
  266   39041.1   38567.2   64.60
  267   39159.3   38466.2    4.87
  268   35170.2   36124.1   18.51
  268   35170.2   36124.1   18.51
  268   35170.2   36124.1   18.51
  268   35170.2   36124.1   18.51
  269   42095.5   41334.5   67.99
  269   42095.5   41334.5   67.99
  269   42095.5   41334.5   67.99
  270   31013.7   29986.0   77.85
  270   31013.7   29986.0   77.85
  270   31013.7   29986.0   77.85
  270   31013.7   29986.0   77.85
  271   28141.0   27604.8   -1.68
  271   28141.0   27604.8   -1.68
  271   28141.0   27604.8   -1.68
  272   30096.6   27595.2   44.70
  272   30096.6   27595.2   44.70
  272   30096.6   27595.2   44.70
  273   45159.5   42279.1   57.45
  273   45159.5   42279.1   57.45
  273   45159.5   42279.1   57.45
  273   45159.5   42279.1   57.45
  274   44150.6   41360.1   72.63
  274   44150.6   41360.1   72.63
  275   38781.9   40520.9   -9.49
  275   38781.9   40520.9   -9.49
  276   39281.7   39864.2    2.68
  276   39281.7   39864.2    2.68
  276   39281.7   39864.2    2.68
  277   37856.8   37203.6   66.48
  277   37856.8   37203.6   66.48
  277   37856.8   37203.6   66.48
  278   37570.1   36348.4   60.69
  278   37570.1   36348.4   60.69
  278   37570.1   36348.4   60.69
  279   36123.1   37286.8    2.68
  279   36123.1   37286.8    2.68
  279   36123.1   37286.8    2.68
  279   36123.1   37286.8    2.68
  279   36123.1   37286.8    2.68
  280   45285.7   44833.2   15.38
  280   45285.7   44833.2   15.38
  281   42088.2   41167.5   50.97
  281   42088.2   41167.5   50.97
  281   42088.2   41167.5   50.97
  282   32572.4   31751.4   60.74
  282   32572.4   31751.4   60.74
  282   32572.4   31751.4   60.74
  283   29258.6   28919.5   27.95
  283   29258.6   28919.5   27.95
  284   29711.3   29019.6   58.48
  285   29189.3   28852.6   -1.81
  286   26418.1   26018.0   72.74
  286   26418.1   26018.0   72.74
  287   26126.6   25653.0   30.03
  288   36187.9   35250.0   70.01
  289   36579.7   36352.5   14.67
  289   36579.7   36352.5   14.67
  289   36579.7   36352.5   14.67
  290   32528.9   31725.6   56.71
  290   32528.9   31725.6   56.71
  291   29209.2   28753.4   24.40
  291   29209.2   28753.4   24.40
  292   43671.2   42163.0   62.54
  293   38725.0   39175.8  -22.90
  293   38725.0   39175.8  -22.90
  293   38725.0   39175.8  -22.90
  294   36337.9   36106.4   73.00
  294   36337.9   36106.4   73.00
  295   25407.8   24927.4   45.35
  295   25407.8   24927.4   45.35
  296   33150.1   33535.7   -9.70
  296   33150.1   33535.7   -9.70
  297   38174.4   37654.8   28.92
  298   35440.8   36284.1   -4.78
  298   35440.8   36284.1   -4.78
  299   35799.3   36804.1   -2.85
  299   35799.3   36804.1   -2.85
  300   36522.2   35033.8   73.97
  301   32902.0   32143.8    8.59
  301   32902.0   32143.8    8.59
  301   32902.0   32143.8    8.59
